LAD20CD,DateRange,Low_Weight_Births
S12000011,2011,1.59
S12000011,2012,1.73
S12000011,2013,1.81
S12000011,2014,1.52
S12000011,2015,1.7
S12000011,2016,1.9
S12000011,2017,1.69
S12000013,2000,1.57
S12000013,2001,2.37
S12000013,2002,2.14
S12000013,2003,2.3
S12000013,2004,2.07
S12000013,2005,1.84
S12000013,2006,1.45
S12000013,2007,1.4
S12000013,2008,1.22
S12000013,2009,1.13
S12000013,2010,0.64
S12000013,2011,1.08
S12000013,2012,1.63
S12000013,2013,1.44
S12000013,2014,1.29
S12000013,2015,0.99
S12000013,2016,1.51
S12000013,2017,1.89
S12000014,2000,2.37
S12000014,2001,2.24
S12000014,2002,2.47
S12000014,2003,2.32
S12000014,2004,2.78
S12000014,2005,2.5
S12000014,2006,2.36
S12000014,2007,2.04
S12000014,2008,2.16
S12000014,2009,2.24
S12000014,2010,2.22
S12000014,2011,2.3
S12000014,2012,2.53
S12000014,2013,2.44
S12000014,2014,2.5
S12000014,2015,2.34
S12000014,2016,2.86
S12000014,2017,2.67
S12000017,2000,2.21
S12000017,2001,2.34
S12000017,2002,2.31
S12000017,2003,2.52
S12000017,2004,2.21
S12000017,2005,1.95
S12000017,2006,1.82
S12000017,2007,1.81
S12000017,2008,2.13
S12000017,2009,2.17
S12000017,2010,2.05
S12000017,2011,1.57
S12000017,2012,1.35
S12000017,2013,1.45
S12000017,2014,1.66
S12000017,2015,1.78
S12000017,2016,1.88
S12000017,2017,1.93
S12000018,2000,2.48
S12000018,2001,2.71
S12000018,2002,2.69
S12000018,2003,2.55
S12000018,2004,2.79
S12000018,2005,2.83
S12000018,2006,3.13
S12000018,2007,2.59
S12000018,2008,2.36
S12000018,2009,2.03
S12000018,2010,2.62
S12000018,2011,2.94
S12000018,2012,3.14
S12000018,2013,2.6
S12000018,2014,2.53
S12000018,2015,2.02
S12000018,2016,2.25
S12000018,2017,2.18
S12000019,2000,2.13
S12000019,2001,2.49
S12000019,2002,2.65
S12000019,2003,2.38
S12000019,2004,1.82
S12000019,2005,1.88
S12000019,2006,1.87
S12000019,2007,1.95
S12000019,2008,1.9
S12000019,2009,2.06
S12000019,2010,2.08
S12000019,2011,2.17
S12000019,2012,2.08
S12000019,2013,1.88
S12000019,2014,1.56
S12000019,2015,1.81
S12000019,2016,2
S12000019,2017,2.07
S12000020,2000,1.88
S12000020,2001,2.03
S12000020,2002,2.1
S12000020,2003,1.92
S12000020,2004,2.12
S12000020,2005,2.19
S12000020,2006,2.43
S12000020,2007,1.82
S12000020,2008,1.38
S12000020,2009,1.27
S12000020,2010,1.55
S12000020,2011,1.71
S12000020,2012,1.73
S12000020,2013,1.58
S12000020,2014,1.87
S12000020,2015,2.09
S12000020,2016,2.3
S12000020,2017,1.98
S12000021,2000,2.44
S12000021,2001,2.46
S12000021,2002,2.35
S12000021,2003,2.2
S12000021,2004,2.27
S12000021,2005,2.21
S12000021,2006,2.46
S12000021,2007,2.26
S12000021,2008,2.41
S12000021,2009,2.34
S12000021,2010,2.4
S12000021,2011,2.46
S12000021,2012,2.1
S12000021,2013,2.13
S12000021,2014,1.76
S12000021,2015,2.42
S12000021,2016,2.47
S12000021,2017,2.71
S12000023,2000,0.24
S12000023,2001,0.47
S12000023,2002,1.16
S12000023,2003,1.32
S12000023,2004,1.06
S12000023,2005,0.38
S12000023,2006,0.37
S12000023,2007,0.54
S12000023,2008,0.93
S12000023,2009,1.12
S12000023,2010,1.13
S12000023,2011,0.91
S12000023,2012,0.92
S12000023,2013,1.54
S12000023,2014,2.59
S12000023,2015,2.81
S12000023,2016,2.41
S12000023,2017,1.46
S12000026,2000,2.08
S12000026,2001,2.22
S12000026,2002,2.28
S12000026,2003,2.34
S12000026,2004,2.44
S12000026,2005,2.32
S12000026,2006,2.28
S12000026,2007,2.6
S12000026,2008,2.49
S12000026,2009,2.28
S12000026,2010,1.82
S12000026,2011,1.85
S12000026,2012,1.92
S12000026,2013,1.69
S12000026,2014,1.61
S12000026,2015,1.39
S12000026,2016,1.26
S12000026,2017,1.36
S12000027,2000,1.47
S12000027,2001,1.28
S12000027,2002,1.26
S12000027,2003,0.95
S12000027,2004,0.95
S12000027,2005,1.05
S12000027,2006,0.91
S12000027,2007,0.88
S12000027,2008,0.72
S12000027,2009,1.11
S12000027,2010,1.4
S12000027,2011,1.82
S12000027,2012,1.42
S12000027,2013,0.98
S12000027,2014,0.62
S12000027,2015,0.9
S12000027,2016,0.79
S12000027,2017,0.97
S12000028,2000,2.25
S12000028,2001,2.09
S12000028,2002,1.95
S12000028,2003,1.63
S12000028,2004,1.68
S12000028,2005,1.87
S12000028,2006,1.92
S12000028,2007,1.86
S12000028,2008,1.66
S12000028,2009,1.74
S12000028,2010,1.82
S12000028,2011,1.81
