Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S16000147,Glasgow Provan,305,288,272,265,223,164,80,42,94,149,223,224,253,255,257,243,237,191
http://statistics.gov.scot/id/statistical-geography/S16000121,Glasgow Shettleston,259,248,236,219,183,123,53,24,84,171,233,259,242,277,264,284,249,189
http://statistics.gov.scot/id/statistical-geography/S16000122,Glasgow Southside,180,152,155,154,156,149,148,155,151,158,145,171,194,214,216,187,161,98
http://statistics.gov.scot/id/statistical-geography/S16000123,Greenock and Inverclyde,165,182,219,188,169,139,197,221,235,185,200,202,207,191,176,165,125,98
http://statistics.gov.scot/id/statistical-geography/S16000124,"Hamilton, Larkhall and Stonehouse",92,106,129,145,169,176,175,163,156,165,168,180,219,317,351,347,211,137
http://statistics.gov.scot/id/statistical-geography/S16000125,Inverness and Nairn,214,217,241,284,343,352,372,416,474,553,641,655,576,448,367,326,285,255
http://statistics.gov.scot/id/statistical-geography/S16000126,Kilmarnock and Irvine Valley,234,267,330,408,475,516,517,471,363,292,294,299,304,292,358,414,452,416
http://statistics.gov.scot/id/statistical-geography/S16000127,Kirkcaldy,416,399,433,454,498,532,556,547,499,477,470,447,391,356,348,361,351,357
http://statistics.gov.scot/id/statistical-geography/S16000128,Linlithgow,167,177,197,215,252,266,283,321,316,428,526,675,638,624,628,680,690,659
http://statistics.gov.scot/id/statistical-geography/S16000129,Mid Fife and Glenrothes,444,438,405,381,392,442,500,506,471,429,425,422,370,328,286,293,289,315
http://statistics.gov.scot/id/statistical-geography/S16000130,Midlothian North and Musselburgh,79,71,58,25,13,85,131,128,157,276,494,602,627,594,590,612,575,588
http://statistics.gov.scot/id/statistical-geography/S16000131,"Midlothian South, Tweeddale and Lauderdale",63,87,112,112,95,134,151,177,189,266,339,366,340,315,319,321,325,324
http://statistics.gov.scot/id/statistical-geography/S16000132,Moray,125,125,119,184,211,247,260,311,313,327,315,330,310,283,277,263,282,358
http://statistics.gov.scot/id/statistical-geography/S16000133,Motherwell and Wishaw,92,102,111,129,129,150,169,177,181,162,158,140,163,215,245,238,165,114
http://statistics.gov.scot/id/statistical-geography/S16000110,Na h-Eileanan an Iar,59,55,58,61,76,69,61,54,61,65,53,65,68,69,57,56,49,42
http://statistics.gov.scot/id/statistical-geography/S16000134,North East Fife,324,339,357,336,296,254,293,287,282,241,271,279,279,236,218,192,180,167
http://statistics.gov.scot/id/statistical-geography/S16000135,Orkney Islands,31,31,37,61,71,97,95,100,81,74,68,74,67,50,45,57,96,110
http://statistics.gov.scot/id/statistical-geography/S16000136,Paisley,192,192,200,226,235,264,253,242,230,270,311,317,295,299,299,260,158,105
http://statistics.gov.scot/id/statistical-geography/S16000137,Perthshire North,155,165,160,201,210,235,225,206,195,209,218,204,155,116,91,122,146,161
http://statistics.gov.scot/id/statistical-geography/S16000138,Perthshire South and Kinross-shire,137,144,137,187,215,255,255,234,218,211,203,183,160,140,126,137,164,180
http://statistics.gov.scot/id/statistical-geography/S16000139,Renfrewshire North and West,158,161,172,187,189,176,166,173,179,201,210,220,196,206,199,175,118,86
http://statistics.gov.scot/id/statistical-geography/S16000140,Renfrewshire South,191,202,195,201,202,192,201,192,196,225,262,274,247,232,234,195,126,80
http://statistics.gov.scot/id/statistical-geography/S16000141,Rutherglen,248,250,269,299,293,229,140,86,157,230,290,280,288,305,302,269,195,120
http://statistics.gov.scot/id/statistical-geography/S16000142,Shetland Islands,45,40,55,66,63,56,61,99,105,92,88,108,114,95,66,63,88,119
http://statistics.gov.scot/id/statistical-geography/S16000143,"Skye, Lochaber and Badenoch",133,129,160,202,275,300,312,334,361,387,409,430,383,338,290,295,264,228
http://statistics.gov.scot/id/statistical-geography/S16000144,Stirling,136,140,126,100,70,46,57,105,101,74,15,28,76,105,139,127,115,83
http://statistics.gov.scot/id/statistical-geography/S16000148,Strathkelvin and Bearsden,216,223,247,253,232,164,86,34,74,126,181,193,220,250,265,263,225,171
http://statistics.gov.scot/id/statistical-geography/S16000146,Uddingston and Bellshill,83,110,119,133,144,138,129,129,160,183,173,152,174,206,254,254,212,150
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,1326,1448,1689,1996,2215,2369,2329,2077,1682,1420,1371,1358,1368,1472,1690,1853,1946,1878
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,118,171,217,232,199,210,219,269,277,321,357,374,330,299,317,350,314,309
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,276,278,280,296,314,361,367,387,374,407,447,469,484,458,472,467,561,552
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,1895,1984,2052,2133,2191,2282,2375,2320,2151,1982,1989,1922,1790,1610,1531,1537,1523,1674
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,280,279,255,223,179,138,236,480,465,329,60,107,284,450,590,548,483,358
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,1367,1281,1120,1178,1136,1261,1364,1848,2284,2605,2408,2195,2029,2036,1965,1779,1873,2536
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,2851,2815,2774,2732,2485,2189,1961,1927,2086,2428,2757,3247,3494,3976,3910,3572,2711,1901
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,769,782,799,911,1045,1149,1214,1371,1450,1546,1663,1737,1581,1356,1200,1133,971,799
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,1246,1314,1444,1622,1683,1599,1396,1259,1363,1465,1550,1505,1768,2163,2403,2298,1680,1151
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,1041,944,924,795,752,1124,1470,1546,2054,3717,5742,6963,6584,5983,5566,5571,5375,5092
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,31,31,37,61,71,97,95,100,81,74,68,74,67,50,45,57,96,110
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,45,40,55,66,63,56,61,99,105,92,88,108,114,95,66,63,88,119
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,1706,1745,1812,1799,1613,1488,1505,1533,1494,1419,1444,1419,1251,1126,1038,1086,1044,992
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,59,55,58,61,76,69,61,54,61,65,53,65,68,69,57,56,49,42
http://statistics.gov.scot/id/statistical-geography/S13002537,Abbey,22,25,24,23,22,19,23,26,33,29,29,28,32,28,30,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002884,Abbey,"","","","","","","","","","","","","","","",30,35,25
http://statistics.gov.scot/id/statistical-geography/S13002503,"Aboyne, Upper Deeside and Donside",26,23,23,25,28,26,24,19,39,38,40,26,25,24,20,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002862,"Aboyne, Upper Deeside and Donside","","","","","","","","","","","","","","","",15,21,36
http://statistics.gov.scot/id/statistical-geography/S13002715,"Abronhill, Kildrum and the Village",65,48,41,45,43,31,14,7,17,23,22,22,35,45,48,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002674,Aird and Loch Ness,16,16,18,26,36,38,39,42,50,53,53,54,43,46,39,"","",""
http://statistics.gov.scot/id/statistical-geography/S13003001,Aird and Loch Ness,"","","","","","","","","","","","","","","",42,32,24
http://statistics.gov.scot/id/statistical-geography/S13002719,Airdrie Central,21,28,33,35,38,38,40,44,45,52,47,48,51,56,61,"","",""
http://statistics.gov.scot/id/statistical-geography/S13003050,Airdrie Central,"","","","","","","","","","","","","","","",52,40,27
