Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S01011844,Milnathort and Crook of Devon - 02,"","","","","","","","","","","","",0,0,0,0,0,0.0
http://statistics.gov.scot/id/statistical-geography/S01011845,Milnathort and Crook of Devon - 03,"","","","","","","","","","","","",25,15,15,14.29,14.29,15.79
http://statistics.gov.scot/id/statistical-geography/S01011846,Milnathort and Crook of Devon - 04,"","","","","","","","","","","","",31.82,34.78,32,22.73,9.52,5
http://statistics.gov.scot/id/statistical-geography/S01011505,Milnwood - 01,"","","","","","","","","","","","",23.81,22.22,31.58,25,21.74,29.63
http://statistics.gov.scot/id/statistical-geography/S01011506,Milnwood - 02,"","","","","","","","","","","","",11.11,16.67,7.69,6.25,7.14,7.69
http://statistics.gov.scot/id/statistical-geography/S01011507,Milnwood - 03,"","","","","","","","","","","","",4.35,7.14,5.88,7.69,0,6.67
http://statistics.gov.scot/id/statistical-geography/S01011508,Milnwood - 04,"","","","","","","","","","","","",29.41,31.71,31.71,33.33,23.08,24
http://statistics.gov.scot/id/statistical-geography/S01011509,Milnwood - 05,"","","","","","","","","","","","",10,4.76,5.88,6.67,7.69,7.69
http://statistics.gov.scot/id/statistical-geography/S01011510,Milnwood - 06,"","","","","","","","","","","","",38,35.56,36.59,28.95,32.43,30.95
http://statistics.gov.scot/id/statistical-geography/S01011511,Milnwood - 07,"","","","","","","","","","","","",33.33,40,27.78,22.22,6.67,7.14
http://statistics.gov.scot/id/statistical-geography/S01010335,Milton East - 01,"","","","","","","","","","","","",27.78,29.41,33.33,29.41,11.76,5.26
http://statistics.gov.scot/id/statistical-geography/S01010336,Milton East - 02,"","","","","","","","","","","","",29.41,35.48,35.71,26.67,17.86,22.86
http://statistics.gov.scot/id/statistical-geography/S01010337,Milton East - 03,"","","","","","","","","","","","",11.54,13.04,20,21.05,21.05,15.79
http://statistics.gov.scot/id/statistical-geography/S01010338,Milton East - 04,"","","","","","","","","","","","",35.42,34.78,32.5,25.81,27.27,21.05
http://statistics.gov.scot/id/statistical-geography/S01010339,Milton East - 05,"","","","","","","","","","","","",36.84,21.05,17.39,17.39,14.29,0.0
http://statistics.gov.scot/id/statistical-geography/S01010330,Milton West - 01,"","","","","","","","","","","","",26.47,38.71,38.46,38.46,26.47,25.71
http://statistics.gov.scot/id/statistical-geography/S01010331,Milton West - 02,"","","","","","","","","","","","",30,22.22,32,36,37.93,27.27
http://statistics.gov.scot/id/statistical-geography/S01010332,Milton West - 03,"","","","","","","","","","","","",21.43,17.65,12.5,11.54,12.5,10.53
http://statistics.gov.scot/id/statistical-geography/S01010333,Milton West - 04,"","","","","","","","","","","","",12.2,17.78,13.89,20.69,10,12.5
http://statistics.gov.scot/id/statistical-geography/S01010334,Milton West - 05,"","","","","","","","","","","","",4.26,4.44,4.88,7.32,8.89,11.76
http://statistics.gov.scot/id/statistical-geography/S01009614,Milton of Balgonie,"","","","","","","","","","","","",16.67,14.29,14.29,12.5,25,18.18
http://statistics.gov.scot/id/statistical-geography/S01008153,Milton of Campsie - 01,"","","","","","","","","","","","",5.26,4.55,7.69,8.7,9.09,0.0
http://statistics.gov.scot/id/statistical-geography/S01008154,Milton of Campsie - 02,"","","","","","","","","","","","",0,0,18.18,14.29,14.29,0.0
http://statistics.gov.scot/id/statistical-geography/S01008155,Milton of Campsie - 03,"","","","","","","","","","","","",15,11.11,18.75,20,21.43,18.18
http://statistics.gov.scot/id/statistical-geography/S01008156,Milton of Campsie - 04,"","","","","","","","","","","","",9.52,20.83,29.17,29.17,16.67,13.33
http://statistics.gov.scot/id/statistical-geography/S01008157,Milton of Campsie - 05,"","","","","","","","","","","","",0,0,10.53,14.29,15,12
http://statistics.gov.scot/id/statistical-geography/S01007057,Mintlaw - 01,"","","","","","","","","","","","",40,33.33,33.33,22.22,22.22,11.11
http://statistics.gov.scot/id/statistical-geography/S01007058,Mintlaw - 02,"","","","","","","","","","","","",4.76,11.11,8.33,18.18,25,14.29
http://statistics.gov.scot/id/statistical-geography/S01007059,Mintlaw - 03,"","","","","","","","","","","","",4.35,6.67,7.14,24,26.32,23.53
http://statistics.gov.scot/id/statistical-geography/S01007060,Mintlaw - 04,"","","","","","","","","","","","",26.92,23.53,25,20,23.53,16.67
http://statistics.gov.scot/id/statistical-geography/S01012357,Minto Cauldmill and Boonraw Area,"","","","","","","","","","","","",14.29,7.69,6.25,5.56,5.26,5.56
http://statistics.gov.scot/id/statistical-geography/S01009531,Mitchelston and Randolph,"","","","","","","","","","","","",20.51,29.03,32.35,28.21,31.43,27.59
http://statistics.gov.scot/id/statistical-geography/S01007641,Moffat - 01,"","","","","","","","","","","","",30.43,36.36,27.27,28.57,13.04,16.67
http://statistics.gov.scot/id/statistical-geography/S01007642,Moffat - 02,"","","","","","","","","","","","",6.25,0,0,0,0,0.0
http://statistics.gov.scot/id/statistical-geography/S01007643,Moffat - 03,"","","","","","","","","","","","",15.38,16.67,9.09,6.67,5.26,5.26
http://statistics.gov.scot/id/statistical-geography/S01007644,Moffat - 04,"","","","","","","","","","","","",13.33,25,23.08,18.18,9.09,7.69
http://statistics.gov.scot/id/statistical-geography/S01007645,Moffat - 05,"","","","","","","","","","","","",0,0,10,14.29,13.33,9.09
http://statistics.gov.scot/id/statistical-geography/S01011887,Moncrieffe and Friarton - 01,"","","","","","","","","","","","",20,15.79,22.22,26.67,29.63,29.17
