Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S01002031,S01002031,52.63,55,30.77,13.64,0,0,0,12.5,21.05,16.13,8.57,2.63,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002032,S01002032,50,52.94,28.57,14.81,0,0,4.76,11.54,25.93,20,15.63,3.7,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002033,S01002033,61.9,60.87,41.18,15.38,6.25,4.76,4.55,13.33,28.57,24,19.57,2.56,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002034,S01002034,61.54,50,20,4.17,0,0,5.56,23.81,40,31.71,20.45,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002035,S01002035,47.06,52.94,28.57,16.67,7.14,4.55,5,6.25,15,12.5,10,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002036,S01002036,58.62,55.56,18.18,20,14.29,13.33,11.11,33.33,34.21,23.53,11.86,4.17,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002037,S01002037,36.36,45.45,26.67,10,0,0,0,15.38,36.84,28,18.52,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002038,S01002038,35.71,35.71,20,9.09,0,0,0,5.88,28.57,21.05,15,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002039,S01002039,56.52,55.56,23.53,0,0,0,0,18.18,30,21.43,6.25,5,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002040,S01002040,50,36.36,30,0,0,0,0,5.88,16.67,14.81,11.11,2.86,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002041,S01002041,56.52,45,25,4,6.9,4.17,3.13,5.71,28.26,27.08,22.45,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002042,S01002042,63.64,64.29,47.83,22.73,0,0,4.17,18.18,40,23.81,13.33,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002043,S01002043,60,57.14,23.08,5.56,0,0,5.26,4.17,8.7,4.55,10.53,5.56,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002044,S01002044,45.71,51.52,25,4.76,0,2.86,2.27,8.7,9.09,13.33,3.45,3.13,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002045,S01002045,33.33,31.25,17.39,14.81,3.33,0,0,8,23.33,20.59,15.63,2.63,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002046,S01002046,66.67,50,21.43,0,0,0,0,35.29,46.43,41.94,20,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002047,S01002047,44.44,66.67,33.33,6.67,5.88,0,0,31.25,40,30,4.76,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002048,S01002048,33.33,60,25,0,0,0,0,11.11,29.41,28.57,20,5.26,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002049,S01002049,56,52.17,31.25,10.53,0,0,0,26.67,58.33,56,29.41,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002050,S01002050,62.5,87.5,31.25,6.25,4.35,5.26,5.88,14.29,26.32,22.73,17.65,4.76,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002051,S01002051,40,44.44,27.78,0,0,0,6.67,26.67,33.33,35.71,14.29,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002052,S01002052,66.67,68.75,28.57,13.33,0,0,0,16.67,28.13,20.45,9.09,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002053,S01002053,46.15,35.71,8.33,25,25,16.67,6.67,20,27.78,24,10,4.35,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002054,S01002054,35.29,55,40,25,0,0,0,7.14,23.53,18.18,12.5,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002055,S01002055,45.45,42.11,0,0,0,3.85,3.33,4.35,11.76,12.5,11.76,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002056,S01002056,65.22,57.14,30.77,16,0,0,0,4.17,16.67,12,9.09,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002057,S01002057,50,39.13,18.52,0,0,0,0,14.29,21.05,23.53,5,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002058,S01002058,66.67,77.78,22.22,0,0,4.35,10,21.74,23.08,22.73,10,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002059,S01002059,77.78,57.14,40.91,22.22,0,0,0,11.11,36.67,32.35,24.32,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002060,S01002060,72.73,76.92,40,14.29,0,0,0,8.33,15.79,15.38,9.68,3.85,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002061,S01002061,46.67,29.41,5,0,0,0,6.67,35.71,47.62,32.14,16.67,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002062,S01002062,50,43.75,11.76,0,0,0,0,16.13,25,28.57,14.29,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002063,S01002063,60,50,15.38,7.14,0,0,0,14.29,23.53,20.51,10.2,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002064,S01002064,63.33,53.33,37.5,9.09,0,0,3.03,8.11,28.89,24.07,19.3,1.82,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002065,S01002065,62.5,55.56,16.67,13.33,0,0,0,14.29,30.43,30.43,15.15,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002066,S01002066,52.38,57.89,25,4.76,0,0,0,23.81,32.26,30.3,16.13,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002067,S01002067,40.91,41.67,31.58,11.11,0,0,0,6.45,25.81,26.67,24,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002068,S01002068,76.47,62.5,45,13.33,5.88,0,0,5.56,26.92,20,12,2.04,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002069,S01002069,61.54,66.67,33.33,9.09,0,0,0,4.55,25,28.57,25,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002070,S01002070,45,60,28.57,10,0,0,0,14.29,18.75,17.65,5.88,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002071,S01002071,14.29,33.33,33.33,18.18,0,0,0,25,40,31.58,18.18,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002072,S01002072,43.33,40.74,23.08,0,3.85,3.7,8.11,17.65,23.33,17.86,4.55,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002073,S01002073,55.56,46.15,23.53,12.5,0,0,0,10.71,17.24,15.63,5.71,2.94,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002074,S01002074,40,50,20,0,0,0,0,15.38,16.67,16.67,0,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002075,S01002075,41.94,36.67,18.75,5,5.88,0,0,19.05,34.62,23.68,10.87,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002076,S01002076,41.67,35.29,26.67,22.22,0,0,10,16.67,35.48,31.25,25.71,3.13,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002077,S01002077,52.63,39.13,16,7.41,0,0,5,15.79,26.67,25,8.33,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002078,S01002078,40,36.67,25,3.45,0,0,0,11.11,20,27.78,13.64,3.57,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002079,S01002079,61.11,55.56,31.25,0,0,0,4.55,10.71,27.59,19.44,15.15,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002080,S01002080,40,28,11.54,3.03,0,8.57,10.34,15.15,32,32,20,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002081,S01002081,61.54,46.67,29.41,0,0,0,0,23.81,43.75,45.45,34.48,8.7,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002082,S01002082,51.43,62.86,50,29.17,6.67,0,0,7.14,16.67,14.63,11.11,2.44,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002083,S01002083,66.67,57.14,21.43,6.25,7.14,8.33,7.69,21.43,23.53,17.65,5,0,"","","","","",""
