Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley",12.35,14.18,16.71,18.36,19.76,20.76,20.18,16.89,14.38,13.11,14.2,14.32,15.6,16.34,18.14,19.27,21.28,21.03
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,5.85,5.59,4.58,3.99,3.19,2.16,3.12,5.58,5.21,3.7,0.67,1.06,2.62,4.73,6.83,6.48,5.62,3.96
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,5.01,5.15,4.65,3.63,2.36,2.34,2.17,2.31,2.16,3.18,3.99,7.05,8.73,12.49,11.97,11.35,7.88,5.01
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,4.58,4.91,6.37,6.97,7.83,7.77,8.43,7.52,6.23,4.72,4.76,5.29,7.59,9.62,11.8,11.91,9.06,6.24
http://statistics.gov.scot/id/statistical-geography/S16000091,Coatbridge and Chryston,6.56,6.78,7.1,7.83,8.01,7.73,6.09,5.45,6.59,7.66,9.14,8.76,9.89,11.17,11.44,11.12,7.74,4.97
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,15.63,16.81,17.89,19.81,21.21,21.55,20.49,18.54,16.94,16.17,16.39,16.05,15.59,14.99,14.98,15.7,16.19,19.09
http://statistics.gov.scot/id/statistical-geography/S16000093,Cumbernauld and Kilsyth,11.2,9.36,8.5,9.12,8.2,6.06,2.9,1.76,2.48,3.73,4.09,4.31,6.43,9.15,10.69,10.27,9.29,7.42
http://statistics.gov.scot/id/statistical-geography/S16000094,Cunninghame North,12.74,14.51,16,19.43,19.82,20.84,18.51,16.67,14.16,12.34,11.5,10.95,11.46,12.75,14.76,17,18.92,19.09
http://statistics.gov.scot/id/statistical-geography/S16000095,Cunninghame South,13.44,14.53,16.29,19.39,22.7,23.38,22.68,18.69,16.06,12.4,11.48,10.28,10.83,12.05,14.55,15.76,17.54,17.62
http://statistics.gov.scot/id/statistical-geography/S16000096,Dumbarton,13.62,11.97,7.53,5.89,5.67,8.47,8.95,10.5,8.74,9.74,10.64,13.54,13.84,13.96,14.15,12.37,8.06,4.69
http://statistics.gov.scot/id/statistical-geography/S16000097,Dumfriesshire,6.7,6.53,7.03,7.49,8.26,8.64,7.75,7.92,7.52,9.46,10.5,12.16,13.18,13.26,13.4,12.64,15.28,16.58
http://statistics.gov.scot/id/statistical-geography/S16000098,Dundee City East,17.65,19.3,19.44,17.14,13.09,10.02,10.23,11.27,11.8,11.47,11.85,11.71,11,10.45,10.5,10.34,8.95,7.77
http://statistics.gov.scot/id/statistical-geography/S16000099,Dundee City West,18.23,16.8,17.2,16.6,14.45,11.96,11.47,12.46,11.62,10.53,10.57,11.44,11.37,10.59,10.4,10.27,9.24,7.92
http://statistics.gov.scot/id/statistical-geography/S16000100,Dunfermline,17.45,20.79,21.04,22.55,21.66,22.17,21.26,19.95,17.66,15.52,15.24,14.34,14.78,13.57,13.42,13.5,14.87,18.93
http://statistics.gov.scot/id/statistical-geography/S16000101,East Kilbride,6.29,7.41,8.82,10.15,10.64,10.33,8.9,7.65,7.24,6.92,6.86,6.93,9.48,12.95,15.17,14.34,10.41,6.93
http://statistics.gov.scot/id/statistical-geography/S16000102,East Lothian,3.67,3.36,2.94,1.72,0.71,2.56,4.13,4.06,5.92,12.55,21.51,22.65,20.04,16.69,16.23,15.8,15.65,15.77
http://statistics.gov.scot/id/statistical-geography/S16000103,Eastwood,6.98,7.58,7.47,7.9,7.17,6.46,6.3,6.27,5.57,5.3,4.95,6.71,7.42,9.22,9.25,7.91,5.56,4
http://statistics.gov.scot/id/statistical-geography/S16000104,Edinburgh Central,4.87,3.58,2.9,1.64,1.24,3.37,4.93,4.35,8.45,15.84,22.95,27.26,25.18,23.94,20.99,20.46,19.06,17.17
http://statistics.gov.scot/id/statistical-geography/S16000105,Edinburgh Eastern,3.5,2.79,2.27,1.06,0.43,2.2,4.53,4.3,6,10.4,19.15,24.41,24.93,23.52,21.94,21.37,20.93,20.02
