Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S16000127,Kirkcaldy,15,20,21,20,16,14,17,14,21,25,28,22,18,19,20,30,37,33
http://statistics.gov.scot/id/statistical-geography/S16000128,Linlithgow,58,59,55,44,49,59,84,106,497,488,459,53,35,33,28,28,24,23
http://statistics.gov.scot/id/statistical-geography/S16000129,Mid Fife and Glenrothes,12,16,16,23,21,19,16,16,13,11,7,11,12,14,15,17,25,26
http://statistics.gov.scot/id/statistical-geography/S16000130,Midlothian North and Musselburgh,1431,1268,628,192,35,43,83,294,563,531,331,55,49,36,26,24,19,13
http://statistics.gov.scot/id/statistical-geography/S16000131,"Midlothian South, Tweeddale and Lauderdale",786,719,399,157,46,65,73,165,299,313,259,224,267,271,204,182,166,127
http://statistics.gov.scot/id/statistical-geography/S16000132,Moray,111,102,92,79,62,48,66,61,57,28,26,24,27,24,31,28,23,19
http://statistics.gov.scot/id/statistical-geography/S16000133,Motherwell and Wishaw,41,31,32,34,44,42,77,137,135,104,43,41,56,55,58,42,49,38
http://statistics.gov.scot/id/statistical-geography/S16000110,Na h-Eileanan an Iar,46,60,75,80,76,161,268,272,181,57,55,50,62,82,84,79,53,52
http://statistics.gov.scot/id/statistical-geography/S16000134,North East Fife,20,26,30,98,234,319,305,161,76,15,19,18,21,21,25,18,74,256
http://statistics.gov.scot/id/statistical-geography/S16000135,Orkney Islands,42,43,44,33,23,11,8,15,18,20,14,11,7,5,5,4,2,1
http://statistics.gov.scot/id/statistical-geography/S16000136,Paisley,29,30,30,30,32,27,46,50,59,45,39,30,34,57,72,64,54,40
http://statistics.gov.scot/id/statistical-geography/S16000137,Perthshire North,35,25,29,129,295,376,398,239,151,29,36,63,100,93,59,17,37,73
http://statistics.gov.scot/id/statistical-geography/S16000138,Perthshire South and Kinross-shire,57,36,44,132,250,326,361,257,167,33,31,65,102,84,54,14,41,53
http://statistics.gov.scot/id/statistical-geography/S16000139,Renfrewshire North and West,18,22,29,33,35,35,59,67,69,52,39,32,28,30,41,32,56,52
http://statistics.gov.scot/id/statistical-geography/S16000140,Renfrewshire South,29,24,31,35,34,26,45,59,60,42,24,27,36,52,61,52,51,46
http://statistics.gov.scot/id/statistical-geography/S16000141,Rutherglen,41,57,117,174,351,698,1237,1475,1120,596,293,312,288,206,157,135,229,245
http://statistics.gov.scot/id/statistical-geography/S16000142,Shetland Islands,124,107,113,125,119,100,74,55,47,51,45,24,7,8,7,5,5,6
http://statistics.gov.scot/id/statistical-geography/S16000143,"Skye, Lochaber and Badenoch",1081,1144,952,661,346,182,130,82,59,29,29,27,36,34,31,19,25,26
http://statistics.gov.scot/id/statistical-geography/S16000144,Stirling,26,19,42,85,103,104,118,221,195,138,23,31,51,46,40,26,52,50
http://statistics.gov.scot/id/statistical-geography/S16000148,Strathkelvin and Bearsden,157,111,175,266,461,773,1176,1338,1015,615,376,376,335,234,164,108,148,158
http://statistics.gov.scot/id/statistical-geography/S16000146,Uddingston and Bellshill,26,38,73,92,108,127,203,285,243,158,70,73,83,78,68,66,78,82
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,27,40,51,58,62,59,103,132,183,335,362,319,132,82,93,83,73,55
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,162,155,104,64,90,109,111,115,142,169,224,424,593,629,489,384,335,245
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,68,51,257,276,301,228,263,304,218,173,116,83,83,81,67,45,42,76
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,171,172,158,226,357,416,389,242,177,120,126,114,121,137,169,200,256,397
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,162,163,237,342,393,397,528,1022,984,797,251,220,233,204,187,132,260,247
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,533,537,637,654,611,433,422,380,308,217,197,213,232,197,214,178,157,105
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,1067,1344,2453,3534,4622,6032,8396,9555,7814,5274,3796,3815,3153,2294,1627,1328,1820,1934
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,3258,3486,3158,2412,1451,694,525,417,394,295,246,224,315,356,335,226,197,223
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,496,672,1203,1667,2180,3137,4609,5643,4567,3073,2018,2029,1770,1316,1001,914,1097,1078
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,10107,9330,4761,1623,393,510,839,2868,6371,6132,4136,466,351,252,215,183,162,135
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,42,43,44,33,23,11,8,15,18,20,14,11,7,5,5,4,2,1
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,124,107,113,125,119,100,74,55,47,51,45,24,7,8,7,5,5,6
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,195,145,202,857,2129,2928,2932,1695,825,162,168,243,338,306,228,118,366,967
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,46,60,75,80,76,161,268,272,181,57,55,50,62,82,84,79,53,52
http://statistics.gov.scot/id/statistical-geography/S13002537,Abbey,3,3,15,18,21,27,28,26,12,7,5,2,1,1,0,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002884,Abbey,"","","","","","","","","","","","","","","",0,2,3
http://statistics.gov.scot/id/statistical-geography/S13002503,"Aboyne, Upper Deeside and Donside",5,3,16,37,54,39,19,2,4,6,5,6,3,3,0,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002862,"Aboyne, Upper Deeside and Donside","","","","","","","","","","","","","","","",0,0,0
http://statistics.gov.scot/id/statistical-geography/S13002715,"Abronhill, Kildrum and the Village",35,56,143,200,250,316,402,465,379,296,262,273,204,116,42,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002674,Aird and Loch Ness,158,175,153,95,34,10,8,4,5,4,3,3,6,6,4,"","",""
http://statistics.gov.scot/id/statistical-geography/S13003001,Aird and Loch Ness,"","","","","","","","","","","","","","","",2,5,6
http://statistics.gov.scot/id/statistical-geography/S13002719,Airdrie Central,7,8,18,19,22,27,42,57,47,39,23,25,18,17,14,"","",""
http://statistics.gov.scot/id/statistical-geography/S13003050,Airdrie Central,"","","","","","","","","","","","","","","",13,16,11
http://statistics.gov.scot/id/statistical-geography/S13002718,Airdrie North,5,10,20,29,28,40,53,71,54,33,15,19,23,31,24,"","",""
http://statistics.gov.scot/id/statistical-geography/S13003049,Airdrie North,"","","","","","","","","","","","","","","",20,11,12
