Reference, Area, 1999/00-2001/02,2000/01-2002/03,2001/02-2003/04,2002/03-2004/05,2003/04-2005/06,2004/05-2006/07,2005/06-2007/08,2006/07-2008/09,2007/08-2009/10,2008/09-2010/11,2009/10-2011/12,2010/11-2012/13,2011/12-2013/14,2012/13-2014/15,2013/14-2015/16,2014/15-2016/17,2015/16-2017/18,2016/17-2018/19
http://statistics.gov.scot/id/statistical-geography/S16000119,Glasgow Pollok,24.54,23.24,22.64,22.06,21.25,19.86,18.6,18.02,16.49,15.7,14.1,13.41,12.58,11.52,9.98,7.99,6.63,6.73
http://statistics.gov.scot/id/statistical-geography/S16000147,Glasgow Provan,26.32,25.21,23.93,23.72,22.05,20.25,19.1,18.98,18.37,16.69,14.23,13.33,11.52,11.35,10.51,9.67,9,7.67
http://statistics.gov.scot/id/statistical-geography/S16000121,Glasgow Shettleston,19.7,20.89,21.16,20.55,20.11,19.98,18.84,16.46,14.5,14.2,12.83,11.91,9.67,8.35,7.25,7.08,6.46,4.84
http://statistics.gov.scot/id/statistical-geography/S16000122,Glasgow Southside,14.31,14.15,12.83,12.74,12.98,12.09,11.36,10.22,9.86,8.64,7.45,7.06,6.6,7.47,7.56,8.12,7.47,8.03
http://statistics.gov.scot/id/statistical-geography/S16000123,Greenock and Inverclyde,23.93,25.07,23.91,23.02,21.44,19.16,19.15,18.55,17.75,16.98,14.53,14.31,12.73,11.33,9.75,8.61,7.41,7.45
http://statistics.gov.scot/id/statistical-geography/S16000124,"Hamilton, Larkhall and Stonehouse",15.59,15.6,15.48,15.64,15.13,13.97,12.86,12.61,12.69,11.95,11.43,10.9,10.56,9.97,9.54,9.45,8.78,6.91
http://statistics.gov.scot/id/statistical-geography/S16000125,Inverness and Nairn,17.8,17.24,16.62,14.81,14.79,14.32,15.66,13.63,13.01,11.98,12.96,13.04,12.21,10.49,8.98,8.03,7.3,7.36
http://statistics.gov.scot/id/statistical-geography/S16000126,Kilmarnock and Irvine Valley,18.88,18.05,16.79,17.21,17.43,17.65,17.68,16.57,16.42,14.61,14.04,12.61,12.21,10.75,9.82,8.27,8.21,7.81
http://statistics.gov.scot/id/statistical-geography/S16000127,Kirkcaldy,21.28,20.37,20.53,21.88,20.08,18.73,18.66,20.13,21.04,20.25,18.11,16.4,15.7,15.48,15.56,14.3,14.1,13.63
http://statistics.gov.scot/id/statistical-geography/S16000128,Linlithgow,16.47,15.26,15.14,15.19,14.32,12.11,12.56,10.83,9.83,8.74,10.04,11.36,11.61,10.32,9.89,7.96,7.32,6.72
